'date','prize','no1','no2','no3','no4','no5'
2010-04-06,0,7,8,14,16,38
2010-04-07,0,7,10,12,22,37
2010-04-08,0,8,12,13,16,31
2010-04-09,0,2,18,19,22,29
2010-04-10,0,5,10,18,19,23
2010-04-11,0,3,23,25,31,35
2010-04-12,0,5,16,21,23,28
2010-04-13,0,1,2,10,25,33
2010-04-14,0,3,5,22,26,31
2010-04-15,0,2,7,11,15,20
2010-04-16,0,23,29,30,33,35
2010-04-17,0,5,10,16,19,33
2010-04-18,0,3,12,13,21,24
2010-04-19,0,8,10,16,32,39
2010-04-20,0,13,20,22,23,34
2010-04-21,0,9,17,30,34,39
2010-04-22,0,8,17,35,37,38
2010-04-23,0,7,20,25,28,31
2010-04-24,0,4,7,20,33,34
2010-04-25,0,7,11,18,28,31
2010-04-26,0,5,10,27,31,32
2010-04-27,0,4,8,19,36,37
2010-04-28,0,1,6,7,16,20
2010-04-29,0,13,16,18,26,35
2010-04-30,0,3,4,17,24,31
2010-05-01,0,1,11,12,13,35
2010-05-02,0,5,13,14,15,22
2010-05-03,0,4,15,26,28,33
2010-05-04,0,4,20,23,32,38
2010-05-05,0,3,16,17,24,37
2010-05-06,0,4,7,17,18,34
2010-05-07,0,13,14,18,30,37
2010-05-08,0,5,11,23,33,39
2010-05-09,0,4,14,17,23,24
2010-05-10,0,6,7,10,22,24
2010-05-11,0,4,5,23,26,31
2010-05-12,0,5,6,19,31,39
2010-05-13,0,7,23,28,29,35
2010-05-14,0,12,16,32,36,39
2010-05-15,0,4,20,23,28,33
2010-05-16,0,8,10,23,24,36
2010-05-17,0,13,23,24,32,37
2010-05-18,0,6,11,18,33,35
2010-05-19,0,6,20,27,28,38
2010-05-20,0,9,11,12,23,35
2010-05-21,0,10,17,21,27,38
2010-05-22,0,2,13,14,15,21
2010-05-23,0,9,14,18,28,32
2010-05-24,0,17,23,36,37,38
2010-05-25,0,3,12,20,22,27
2010-05-26,0,23,30,31,35,39
2010-05-27,0,1,17,22,32,34
2010-05-28,0,11,23,34,36,39
2010-05-29,0,5,16,18,21,26
2010-05-30,0,1,9,12,27,33
2010-05-31,0,13,20,21,24,35
2010-06-01,0,6,8,16,29,35
2010-06-02,0,5,9,28,32,35
2010-06-03,0,4,10,24,29,34
2010-06-04,0,2,10,15,27,39
2010-06-05,0,18,26,28,30,32
2010-06-06,0,10,12,21,29,34
2010-06-07,0,1,3,14,26,28
2010-06-08,0,6,16,24,34,38
2010-06-09,0,4,5,11,20,36
2010-06-10,0,2,8,10,20,36
2010-06-11,0,7,11,12,17,20
2010-06-12,0,11,12,32,35,39
2010-06-13,0,3,8,14,28,39
2010-06-14,0,15,20,29,32,37
2010-06-15,0,3,15,18,34,35
2010-06-16,0,14,22,25,33,36
2010-06-17,0,1,25,26,28,38
2010-06-18,0,5,10,11,18,28
2010-06-19,0,21,23,26,30,33
2010-06-20,0,8,20,26,31,39
2010-06-21,0,1,9,15,20,38
2010-06-22,0,9,26,27,31,33
2010-06-23,0,9,24,26,29,31
2010-06-24,0,3,22,34,37,38
2010-06-25,0,4,8,16,18,25
2010-06-26,0,5,11,19,26,32
2010-06-27,0,3,5,9,31,38
2010-06-28,0,2,4,10,14,19
2010-06-29,0,20,22,24,29,30
2010-06-30,0,13,20,22,30,36
2010-07-01,0,10,30,31,34,35
2010-07-02,0,8,13,23,24,36
2010-07-03,0,3,5,15,22,39
2010-07-04,0,5,8,25,36,38
2010-07-05,0,2,9,13,32,33
2010-07-06,0,8,10,31,36,38
2010-07-07,0,12,15,24,38,39
2010-07-08,0,10,21,22,32,37
2010-07-09,0,3,29,31,34,35
2010-07-10,0,7,10,16,36,39
2010-07-11,0,1,20,23,24,38
2010-07-12,0,3,14,24,35,39
2010-07-13,0,11,17,18,22,27
2010-07-14,0,7,27,28,36,37
2010-07-15,0,1,16,20,22,29
2010-07-16,0,7,20,28,36,38
2010-07-17,0,11,13,24,28,30
2010-07-18,0,1,6,8,17,21
2010-07-19,0,1,11,20,24,34
2010-07-20,0,1,4,18,27,31
2010-07-21,0,15,23,32,35,36
2010-07-22,0,2,13,17,32,33
2010-07-23,0,13,18,22,24,32
2010-07-24,0,14,16,18,19,31
2010-07-25,0,5,11,15,22,28
2010-07-26,0,16,17,19,23,32
2010-07-27,0,1,2,12,26,37
2010-07-28,0,1,11,12,15,35
2010-07-29,0,5,8,20,31,33
2010-07-30,0,9,11,26,32,37
2010-07-31,0,13,15,16,18,23
2010-08-01,0,4,6,12,33,36
